timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-07-25T14:57:33,csharp,05b7985b-e065-4101-86bf-8e63cff74431,1.5606107711791992,9.915995102689197e-06,6.35391943065769e-06,45.5,11.757740361907054,2.171926975250244,1.9723183810710905e-05,5.070281834010371e-06,9.363686336032136e-07,2.5729834278324488e-05,Germany,DEU,lower saxony,,,Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.3135,52.5103,5.791805267333984,machine,N,1.0
2024-07-25T14:57:39,d,b8800ec7-34af-4635-b3dd-14efddda683f,0.1417675018310547,9.13674196127326e-07,6.444877594134076e-06,45.5,13.324601394829822,2.171926975250244,1.7902348438898722e-06,4.994448440098775e-07,8.110462646139166e-08,2.3707843143611413e-06,Germany,DEU,lower saxony,,,Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.3135,52.5103,5.791805267333984,machine,N,1.0
2024-07-25T14:57:44,c,a82b7eff-5d77-42db-a0b7-ae51bf5bf81d,0.1137502193450927,7.430270411375078e-07,6.5320932602629065e-06,45.5,13.775575589770208,2.171926975250244,1.4360883500840928e-06,4.252781179991949e-07,6.662587507520357e-08,1.927992343158491e-06,Germany,DEU,lower saxony,,,Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.3135,52.5103,5.791805267333984,machine,N,1.0
2024-07-25T14:57:53,cpp ranges,ba0667db-ca3c-44af-8589-21f4d857019b,0.1184394359588623,7.700063912257521e-07,6.5012669554860025e-06,45.5,13.490520374279589,2.171926975250244,1.4949088626437715e-06,4.336114579894801e-07,6.947752368963241e-08,1.9979978443228843e-06,Germany,DEU,lower saxony,,,Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.3135,52.5103,5.791805267333984,machine,N,1.0
2024-07-25T14:58:28,cpp nostl,513d9450-d67a-40eb-b785-b4dbe6008f77,30.22203302383423,0.0001959897645034,6.484996040765576e-06,45.5,13.287166089351764,2.171926975250244,0.0003819672432541,0.000108355920018,1.8227325982691128e-05,0.0005085504892548,Germany,DEU,lower saxony,,,Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.3135,52.5103,5.791805267333984,machine,N,1.0
2024-07-25T14:58:35,cpp stl,637efc2d-6f4a-43e7-a66f-89b36504a993,0.0953586101531982,6.152189672109337e-07,6.451635213879004e-06,45.5,13.687726764211028,2.171926975250244,1.2036298049820791e-06,3.391669380070628e-07,5.3561656474604064e-08,1.596358399463746e-06,Germany,DEU,lower saxony,,,Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.3135,52.5103,5.791805267333984,machine,N,1.0
2024-07-25T14:58:40,ruby,e97896a5-f155-48f3-97e1-62f38963fcba,0.4346151351928711,2.8104408071579976e-06,6.466504683300538e-06,45.5,12.94021859254079,2.171926975250244,5.487423472934299e-06,1.5458345700020135e-06,2.592199654084955e-07,7.292478008344808e-06,Germany,DEU,lower saxony,,,Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.3135,52.5103,5.791805267333984,machine,N,1.0
2024-07-25T14:58:46,lua,fa23aa32-5e07-4427-8fd3-32497f3404ef,0.6620395183563232,4.287469637155832e-06,6.476153640798566e-06,45.5,12.966628513534516,2.171926975250244,8.365783558951484e-06,2.36361300198773e-06,3.956475818770855e-07,1.11250441428163e-05,Germany,DEU,lower saxony,,,Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.3135,52.5103,5.791805267333984,machine,N,1.0
2024-07-25T14:58:59,lisp,6729712c-e486-48f3-b048-89556619e4bc,8.856475353240967,5.741943711298465e-05,6.483328279344491e-06,45.5,12.898389229365504,2.171926975250244,0.0001119343355298,3.171613648400573e-05,5.340384271617608e-06,0.0001489908562854,Germany,DEU,lower saxony,,,Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.3135,52.5103,5.791805267333984,machine,N,1.0
2024-07-25T14:59:05,elixir,49a37bc6-6456-4c45-8584-c1babdbc9492,1.5186467170715332,9.841550024153989e-06,6.480473643752933e-06,45.5,12.95621331912384,2.171926975250244,1.919112635983361e-05,5.434726570011095e-06,9.108126837404976e-07,2.55366656135852e-05,Germany,DEU,lower saxony,,,Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.3135,52.5103,5.791805267333984,machine,N,1.0
